T1P1T06_hyoid_data.tx,T1P1T06_hyoid_data.ty,T1P1T06_hyoid_data.tz,T1P1T06_hyoid_data.rx,T1P1T06_hyoid_data.ry,T1P1T06_hyoid_data.rz
1.905914264,-0.860717036,-1.743145579,-26.06878305,-28.44112024,17.91420586
1.905888408,-0.861987626,-1.7402515,-26.30850922,-28.39383441,18.15969811
1.905863873,-0.8632307798,-1.737419913,-26.54305891,-28.34756964,18.39988937
1.905840627,-0.8644452501,-1.734653659,-26.77219682,-28.30237234,18.63453867
1.905818642,-0.86562979,-1.73195558,-26.99568766,-28.25828892,18.86340508
1.905797888,-0.8667831523,-1.729328515,-27.21329612,-28.2153658,19.08624762
1.905778333,-0.86790409,-1.726775305,-27.42478692,-28.17364938,19.30282536
1.905759948,-0.8689913559,-1.724298791,-27.62992476,-28.13318608,19.51289733
1.905742704,-0.8700437029,-1.721901814,-27.82847435,-28.0940223,19.71622258
1.90572657,-0.8710598839,-1.719587213,-28.02020038,-28.05620447,19.91256016
1.905711515,-0.8720386518,-1.717357829,-28.20486758,-28.01977899,20.10166911
1.905697511,-0.8729787595,-1.715216504,-28.38224063,-27.98479227,20.28330847
1.905684526,-0.87387896,-1.713166077,-28.55208425,-27.95129073,20.4572373
1.905672531,-0.874738006,-1.71120939,-28.71416315,-27.91932077,20.62321464
1.905661496,-0.8755546505,-1.709349282,-28.86824202,-27.88892882,20.78099953
1.905651391,-0.8763276465,-1.707588595,-29.01408557,-27.86016127,20.93035102
1.905642185,-0.8770557467,-1.705930168,-29.15145851,-27.83306455,21.07102816
1.905633849,-0.8777377042,-1.704376843,-29.28012555,-27.80768506,21.20278999
1.905626352,-0.8783722717,-1.70293146,-29.39985138,-27.78406922,21.32539556
1.905619665,-0.8789582022,-1.70159686,-29.51040071,-27.76226344,21.43860391
1.905613758,-0.8794942486,-1.700375884,-29.61153826,-27.74231413,21.54217409
1.9056086,-0.8799791638,-1.699271371,-29.70302871,-27.72426769,21.63586515
1.905604161,-0.8804117006,-1.698286162,-29.78463679,-27.70817056,21.71943612
1.905600412,-0.880790612,-1.697423099,-29.85612719,-27.69406912,21.79264606
1.905597321,-0.8811146509,-1.696685021,-29.91726462,-27.6820098,21.85525402
1.90559486,-0.8813825702,-1.696074769,-29.96781378,-27.67203902,21.90701903
1.905592999,-0.8815931228,-1.695595184,-30.00753939,-27.66420317,21.94770014
1.905591706,-0.8817450615,-1.695249107,-30.03620614,-27.65854867,21.9770564
1.905590953,-0.8818371392,-1.695039377,-30.05357873,-27.65512194,21.99484686
1.905590708,-0.8818681089,-1.694968836,-30.05942189,-27.65396938,22.00083056
1.905609067,-0.8818455881,-1.695032996,-30.05882654,-27.65492202,22.00082861
1.905663656,-0.8817785431,-1.695223772,-30.05705095,-27.65775627,22.00081499
1.905753743,-0.8816677503,-1.695538606,-30.05411078,-27.66243661,22.000778
1.905878596,-0.881513986,-1.69597494,-30.05002169,-27.66892756,22.00070598
