ope_tip_data.tx,ope_tip_data.ty,ope_tip_data.tz,hyoid_tip_data.tx,hyoid_tip_data.ty,hyoid_tip_data.tz,lower_jaw_tip_data.tx,lower_jaw_tip_data.ty,lower_jaw_tip_data.tz,upper_jaw_tip_data.tx,upper_jaw_tip_data.ty,upper_jaw_tip_data.tz
-1.971601452,-0.4499554527,-2.648410384,3.65415306,0.09192523612,-0.4417181941,5.324883703,1.595649478,-0.01374561172,5.179963148,2.211716141,-0.07248376241
-1.970573263,-0.4491710887,-2.650485779,3.654398401,0.09158195856,-0.4414324127,5.323474475,1.597753492,-0.01383726786,5.180216896,2.210611995,-0.07273604675
-1.969507777,-0.4483662283,-2.652620593,3.654685485,0.09117916723,-0.4411022457,5.321851314,1.600184287,-0.01393377151,5.180455917,2.209329327,-0.07299925854
-1.968406635,-0.4475414034,-2.654813554,3.655013427,0.09071775663,-0.440730029,5.320023901,1.602924665,-0.01403480509,5.180681647,2.207874995,-0.07327263468
-1.967271479,-0.4466971459,-2.65706339,3.655381344,0.09019862125,-0.4403180989,5.318001921,1.605957426,-0.014140051,5.180895522,2.206255854,-0.07355541206
-1.966103951,-0.4458339878,-2.659368831,3.655788352,0.0896226556,-0.4398687914,5.315795056,1.609265371,-0.01424919166,5.181098977,2.204478763,-0.07384682758
-1.964905693,-0.4449524607,-2.661728605,3.656233567,0.08899075417,-0.4393844425,5.313412989,1.612831302,-0.01436190949,5.18129345,2.202550576,-0.07414611815
-1.963678346,-0.4440530968,-2.664141441,3.656716106,0.08830381145,-0.4388673885,5.310865404,1.616638019,-0.01447788689,5.181480376,2.200478152,-0.07445252065
-1.962423554,-0.4431364277,-2.666606067,3.657235085,0.08756272195,-0.4383199653,5.308161983,1.620668324,-0.01459680629,5.181661192,2.198268347,-0.07476527198
-1.961142957,-0.4422029854,-2.669121211,3.657789619,0.08676838015,-0.437744509,5.305312409,1.624905016,-0.0147183501,5.181837332,2.195928018,-0.07508360905
-1.959838197,-0.4412533018,-2.671685603,3.658378826,0.08592168056,-0.4371433558,5.302326366,1.629330898,-0.01484220073,5.182010234,2.19346402,-0.07540676875
-1.958510916,-0.4402879087,-2.674297972,3.659001822,0.08502351767,-0.4365188417,5.299213536,1.63392877,-0.01496804059,5.182181333,2.190883212,-0.07573398798
-1.957162756,-0.439307338,-2.676957044,3.659657723,0.08407478597,-0.4358733028,5.295983603,1.638681433,-0.01509555211,5.182352066,2.18819245,-0.07606450363
-1.955795359,-0.4383121216,-2.679661551,3.660345645,0.08307637997,-0.4352090752,5.292646249,1.643571689,-0.01522441768,5.182523868,2.18539859,-0.07639755261
-1.954410367,-0.4373027913,-2.682410219,3.661064704,0.08202919416,-0.434528495,5.289211159,1.648582337,-0.01535431974,5.182698176,2.18250849,-0.07673237181
-1.953009421,-0.4362798791,-2.685201778,3.661814018,0.08093412304,-0.4338338983,5.285688014,1.65369618,-0.01548494068,5.182876425,2.179529006,-0.07706819812
